container_id,container_local,/Volumes/groot-data/russell_tran/exif_pipeline/unprocessed/michel/Arabidopsis Plates-Take's 8/Take's 8_Round 2/10.08.20,/Volumes/groot-data/russell_tran/exif_pipeline/unprocessed/michel/Arabidopsis Plates-Take's 8/Take's 8_Round 2/10.15.20,/Volumes/groot-data/russell_tran/exif_pipeline/unprocessed/michel/Arabidopsis Plates-Take's 8/Take's 8_Round 2/10.19.20,/Volumes/groot-data/russell_tran/exif_pipeline/unprocessed/michel/Arabidopsis Plates-Take's 8/Take's 8_Round 2/10.22.20
2wKQWoMkXTfRlC,1,1,1,1,1
6Z5He2xXuIAKGJ,2,2,2,2,2
mKLh7dgXDvls6s,3,3,3,3,3
e4ACcPPiO9c6Tb,4,4,4,4,4
azD2Bu3kPtv_bV,5,5,5,5,5
hivAyp-1Nsnv3C,6,6,6,6,6
ssx81Ew9ElclLf,7,7,7,7,7
uQNHZ2T_YvpMK7,8,8,8,8,8
NQ1Is4M-JVj_2N,9,9,9,9,9
8Dr2HKb6DWQxtR,10,10,10,10,10
Ne9UoWeQWeg0z7,11,11,11,11,11
UiwVjLqheVpn_D,12,12,12,12,12
mGEwUwC4dQW6FG,13,13,13,13,13
NiPVKF_ZjBSSuj,14,14,14,14,14
aBz9yt7YnzRgx8,15,15,15,15,15
